Category,Year,Number of allowed places
SAME JOB RIGHTS,2001,153
SAME JOB RIGHTS,2002,153
SAME JOB RIGHTS,2003,153
SAME JOB RIGHTS,2004,153
SAME JOB RIGHTS,2005,156
SAME JOB RIGHTS,2006,157
SAME JOB RIGHTS,2007,157
SAME JOB RIGHTS,2008,157
SAME JOB RIGHTS,2009,158
SAME JOB RIGHTS,2010,158
SAME JOB RIGHTS,2011,158
SAME JOB RIGHTS,2012,159
SAME JOB RIGHTS,2013,161
SAME JOB RIGHTS,2014,161
SAME JOB RIGHTS,2015,162
SAME JOB RIGHTS,2016,162
SAME JOB RIGHTS,2017,163
SAME JOB RIGHTS,2018,163
SAME JOB RIGHTS,2019,163
SAME LIVING RIGHTS,2001,138
SAME LIVING RIGHTS,2002,140
SAME LIVING RIGHTS,2003,140
SAME LIVING RIGHTS,2004,140
SAME LIVING RIGHTS,2005,142
SAME LIVING RIGHTS,2006,143
SAME LIVING RIGHTS,2007,143
SAME LIVING RIGHTS,2008,143
SAME LIVING RIGHTS,2009,143
SAME LIVING RIGHTS,2010,143
SAME LIVING RIGHTS,2011,143
SAME LIVING RIGHTS,2012,144
SAME LIVING RIGHTS,2013,147
SAME LIVING RIGHTS,2014,147
SAME LIVING RIGHTS,2015,148
SAME LIVING RIGHTS,2016,148
SAME LIVING RIGHTS,2017,150
SAME LIVING RIGHTS,2018,150
SAME LIVING RIGHTS,2019,151
SAME REMARRY RIGHTS,2001,106
SAME REMARRY RIGHTS,2002,108
SAME REMARRY RIGHTS,2003,108
SAME REMARRY RIGHTS,2004,109
SAME REMARRY RIGHTS,2005,110
SAME REMARRY RIGHTS,2006,110
SAME REMARRY RIGHTS,2007,110
SAME REMARRY RIGHTS,2008,112
SAME REMARRY RIGHTS,2009,112
SAME REMARRY RIGHTS,2010,112
SAME REMARRY RIGHTS,2011,112
SAME REMARRY RIGHTS,2012,113
SAME REMARRY RIGHTS,2013,113
SAME REMARRY RIGHTS,2014,113
SAME REMARRY RIGHTS,2015,115
SAME REMARRY RIGHTS,2016,117
SAME REMARRY RIGHTS,2017,117
SAME REMARRY RIGHTS,2018,117
SAME REMARRY RIGHTS,2019,117
CAPABLE OF BEING HEAD OF HOUSEHOLD,2001,140
CAPABLE OF BEING HEAD OF HOUSEHOLD,2002,142
CAPABLE OF BEING HEAD OF HOUSEHOLD,2003,142
CAPABLE OF BEING HEAD OF HOUSEHOLD,2004,143
CAPABLE OF BEING HEAD OF HOUSEHOLD,2005,148
CAPABLE OF BEING HEAD OF HOUSEHOLD,2006,149
CAPABLE OF BEING HEAD OF HOUSEHOLD,2007,150
CAPABLE OF BEING HEAD OF HOUSEHOLD,2008,150
CAPABLE OF BEING HEAD OF HOUSEHOLD,2009,150
CAPABLE OF BEING HEAD OF HOUSEHOLD,2010,150
CAPABLE OF BEING HEAD OF HOUSEHOLD,2011,150
CAPABLE OF BEING HEAD OF HOUSEHOLD,2012,151
CAPABLE OF BEING HEAD OF HOUSEHOLD,2013,153
CAPABLE OF BEING HEAD OF HOUSEHOLD,2014,153
CAPABLE OF BEING HEAD OF HOUSEHOLD,2015,155
CAPABLE OF BEING HEAD OF HOUSEHOLD,2016,155
CAPABLE OF BEING HEAD OF HOUSEHOLD,2017,156
CAPABLE OF BEING HEAD OF HOUSEHOLD,2018,157
CAPABLE OF BEING HEAD OF HOUSEHOLD,2019,159
SAME RIGHTS FOR TRAVELLING,2001,171
SAME RIGHTS FOR TRAVELLING,2002,171
SAME RIGHTS FOR TRAVELLING,2003,171
SAME RIGHTS FOR TRAVELLING,2004,171
SAME RIGHTS FOR TRAVELLING,2005,172
SAME RIGHTS FOR TRAVELLING,2006,172
SAME RIGHTS FOR TRAVELLING,2007,172
SAME RIGHTS FOR TRAVELLING,2008,172
SAME RIGHTS FOR TRAVELLING,2009,172
SAME RIGHTS FOR TRAVELLING,2010,172
SAME RIGHTS FOR TRAVELLING,2011,172
SAME RIGHTS FOR TRAVELLING,2012,172
SAME RIGHTS FOR TRAVELLING,2013,172
SAME RIGHTS FOR TRAVELLING,2014,172
SAME RIGHTS FOR TRAVELLING,2015,172
SAME RIGHTS FOR TRAVELLING,2016,172
SAME RIGHTS FOR TRAVELLING,2017,172
SAME RIGHTS FOR TRAVELLING,2018,172
SAME RIGHTS FOR TRAVELLING,2019,173
