 France,0.22,0.192,0.156,0.125,0.123,0.108,0.107,0.103,0.102
 United States,0.305,,0.264,0.254,0.248,0.235,0.227,0.214,0.203
 China,,0.254,0.228,0.197,0.191,0.184,0.172,0.168,0.164
 Spain,0.157,0.119,0.118,0.113,0.106,0.1,0.095,0.087,0.081
 Italy,0.198,0.178,0.175,0.124,0.12,0.116,0.09,0.085,0.085
 Turkey,0.631,0.589,0.564,0.426,0.381,0.365,0.351,0.34,0.328
 United Kingdom,0.237,0.215,0.206,0.184,0.174,0.168,0.159,0.149,0.131
 Germany,0.156,0.13,0.117,0.097,0.092,0.087,0.077,0.073,0.066
 Russian Federation,0.467,0.423,0.359,0.315,0.308,0.296,0.29,0.286,0.271
 Malaysia,0.398,0.34,0.324,0.308,0.31,0.303,0.293,0.287,0.291
 Mexico,0.508,0.493,0.431,0.401,0.393,0.369,0.364,0.355,0.345
 Austria,0.187,0.151,0.118,0.111,0.105,0.1,0.087,0.083,0.078
 Ukraine,0.482,0.384,0.37,0.334,0.329,0.316,0.308,0.29,0.284
 Thailand,0.4,0.397,0.348,0.319,0.307,0.309,0.307,0.369,0.366
 Saudi Arabia,,,0.672,0.633,0.623,0.619,0.267,0.262,0.257
 Greece,0.283,0.221,0.179,0.159,0.148,0.134,0.128,0.121,0.119
 Canada,0.184,,0.132,0.127,0.118,0.113,0.108,0.102,0.098
 Poland,0.258,0.205,0.164,0.17,0.155,0.152,0.15,0.146,0.137
 Singapore,0.252,0.272,0.167,0.099,0.102,0.091,0.082,0.069,0.068
 Indonesia,0.578,0.564,0.533,0.486,0.481,0.476,0.472,0.472,0.467
